sample

日付,曜日,無効フラグ,メモ,歩行カロリー合計(kcal),生活活動カロリー合計(kcal),カロリー合計(kcal),総カロリー合計(kcal),歩行エクササイズ合計(Ex),生活活動エクササイズ合計(Ex),エクササイズ合計(Ex),歩数合計(歩),歩行時間(分),活動時間１(分),活動時間２(分),活動時間３(分),活動時間４(分),活動時間５(分),活動時間６(分),活動時間７(分),活動時間８(分),装着時間(分),身長(cm),体重(kg),基礎代謝(kcal),活動量計シリアルID
6/8/2015,月,,,155,160,315,2128,2.649,0.511,3.161,4907,49,167,16,36,12,2,0,0,0,233,170,70,1554,14111141
6/9/2015,火,,,260,374,634,2447,4.174,1.985,6.159,8489,92,330,48,75,15,4,2,1,0,475,170,70,1554,14111141
6/10/2015,水,,,404,179,583,2396,6.759,1.226,7.985,13640,141,153,46,111,16,4,1,0,0,331,170,70,1554,14111141
6/11/2015,木,,,233,127,360,2173,3.86,1.133,4.993,7852,82,77,29,66,11,3,1,1,0,188,170,70,1554,14111141
6/12/2015,金,,,326,210,536,2349,4.799,1.087,5.886,11000,122,184,65,85,10,3,1,0,0,348,170,70,1554,14111141
6/13/2015,土,,,301,179,480,2293,4.726,0.921,5.647,10403,112,188,47,87,7,2,0,0,0,331,170,70,1554,14111141
6/14/2015,日,,,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,70,1554,14111141
6/15/2015,月,,,155,160,315,2128,2.649,0.511,3.161,4907,49,167,16,36,12,2,0,0,0,233,170,70,1554,14111141
6/16/2015,火,,,260,374,634,2447,4.174,1.985,6.159,8489,92,330,48,75,15,4,2,1,0,475,170,70,1554,14111141
6/17/2015,水,,,404,179,583,2396,6.759,1.226,7.985,13640,141,153,46,111,16,4,1,0,0,331,170,70,1554,14111141
6/18/2015,木,,,233,127,360,2173,3.86,1.133,4.993,7852,82,77,29,66,11,3,1,1,0,188,170,70,1554,14111141
6/19/2015,金,,,326,210,536,2349,4.799,1.087,5.886,11000,122,184,65,85,10,3,1,0,0,348,170,70,1554,14111141
6/20/2015,土,,,301,179,480,2293,4.726,0.921,5.647,10403,112,188,47,87,7,2,0,0,0,331,170,70,1554,14111141
6/21/2015,日,,,260,374,634,2447,4.174,1.985,6.159,8489,92,330,48,75,15,4,2,1,0,475,170,70,1554,14111141
